_id,algoname,clientID,symbol,realised,unrealised,sum,balance
655d7c4d0bc4ecf4b936e4d6,GRB,D9550016,BANKNIFTY30NOV2343800CE,0,1578.75,1578.75,1600000
655d7c4d0bc4ecf4b936e4d7,RenkoExpBN,D7730007,BANKNIFTY22NOV2344600CE,0,30,30,1800000
655d7c4d0bc4ecf4b936e4d8,RenkoExpBN,B1700057,BANKNIFTY22NOV2344600CE,0,60,60,5000000
655d7c4d0bc4ecf4b936e4d9,RenkoExpBN,D8460002,BANKNIFTY22NOV2344600CE,0,60,60,2700000
655d7c4d0bc4ecf4b936e4da,RenkoExpBN,D9550002,BANKNIFTY22NOV2344600CE,0,30,30,2400000
655d7c4d0bc4ecf4b936e4db,DRBS_BN,B1700057,BANKNIFTY22NOV2344200CE,3,0,3,5000000
655d7c520bc4ecf4b936e4dc,DRBS_BN,B1700057,BANKNIFTY22NOV2343100PE,453,0,453,5000000
655d7c520bc4ecf4b936e4dd,RenkoExpBN,D8460002,BANKNIFTY22NOV2343600CE,3485.85,0,3485.85,2700000
655d7c520bc4ecf4b936e4de,RenkoExpBN,D7730007,BANKNIFTY22NOV2343600CE,1761,0,1761,1800000
655d7c520bc4ecf4b936e4df,RenkoExpBN,D7730008,BANKNIFTY22NOV2343600CE,1743,0,1743,2000000
655d7c520bc4ecf4b936e4e0,RenkoExpBN,B1700057,BANKNIFTY22NOV2343600CE,3536.4,0,3536.4,5000000
655d7c520bc4ecf4b936e4e1,RenkoExpBN,D9550002,BANKNIFTY22NOV2343600CE,1756.2,0,1756.2,2400000
655d7c570bc4ecf4b936e4e2,DRBS_BN,B1700057,BANKNIFTY30NOV2345700CE,0,0,0,5000000
655d7c5c0bc4ecf4b936e4e3,DRBS_BN,B1700057,BANKNIFTY30NOV2343600CE,0,4271.25,4271.25,5000000
655d7c8a0bc4ecf4b936e4e4,RenkoExpBN,B1700057,BANKNIFTY22NOV2344800CE,0,30,30,5000000
655d7c8a0bc4ecf4b936e4e5,RenkoExpBN,D7730008,BANKNIFTY22NOV2344800CE,0,15,15,2000000
655d7c8a0bc4ecf4b936e4e6,RenkoExpBN,D8460002,BANKNIFTY22NOV2344800CE,0,30,30,2700000
655d7c8a0bc4ecf4b936e4e7,RenkoExpBN,D9550002,BANKNIFTY22NOV2344800CE,0,15,15,2400000
655d7c8a0bc4ecf4b936e4e8,RenkoExpBN,D7730007,BANKNIFTY22NOV2344800CE,0,15,15,1800000
655d7c8a0bc4ecf4b936e4e9,DOZ_BN,D9550016,BANKNIFTY22NOV2344400CE,0,-9,-9,1600000
655d7c8a0bc4ecf4b936e4ea,DOZ_BN,D9550012,BANKNIFTY22NOV2344400CE,0,-9,-9,3000000
655d7c8a0bc4ecf4b936e4eb,DOZ_BN,B1700057,BANKNIFTY22NOV2344400CE,0,-2.25,-2.25,5000000
655d7c8a0bc4ecf4b936e4ec,DRBS_BN,B1700057,BANKNIFTY22NOV2344300CE,-3,0,-3,5000000
655d7c8a0bc4ecf4b936e4ed,DRBS_BN,B1700057,BANKNIFTY22NOV2343000PE,186,0,186,5000000
655d7c8f0bc4ecf4b936e4ee,DOZ_BN,D9550012,BANKNIFTY22NOV2343500CE,0,3849,3849,3000000
655d7c8f0bc4ecf4b936e4ef,DOZ_BN,D9550016,BANKNIFTY22NOV2343500CE,0,3827.85,3827.85,1600000
655d7c8f0bc4ecf4b936e4f0,DOZ_BN,B1700057,BANKNIFTY22NOV2343500CE,0,957.75,957.75,5000000
655d7cca0bc4ecf4b936e4f1,Exp3StatBN,B1700057,BANKNIFTY22NOV2346000CE,-9,0,-9,5000000
655d7cca0bc4ecf4b936e4f2,DOZB_BN,B1700057,BANKNIFTY22NOV2343500CE,0,484.5,484.5,5000000
655d7cca0bc4ecf4b936e4f3,ExpiryWedBHLN,D7730008,NIFTY23NOV2320350CE,2.5,0,2.5,2000000
655d7cca0bc4ecf4b936e4f4,ExpiryWedBHLN,D7730007,NIFTY23NOV2320350CE,2.5,0,2.5,1800000
655d7cca0bc4ecf4b936e4f5,ExpiryWedBHLN,D8460002,NIFTY23NOV2320350CE,5,0,5,2700000
655d7cca0bc4ecf4b936e4f6,ExpiryWedBHLN,D9550005,NIFTY23NOV2320350CE,2.5,0,2.5,1000000
655d7cca0bc4ecf4b936e4f7,ExpiryWedBHLN,D8460006,NIFTY23NOV2320350CE,2.5,0,2.5,1000000
655d7cca0bc4ecf4b936e4f8,ExpiryWedBHLN,D9550017,NIFTY23NOV2320350CE,2.5,0,2.5,1000000
